ID,Location,Track,Week,Rating (Num),Schedule Pacing
134,San Francisco,"Apps, Explorer",Week 1,3,Just right
36,Los Angeles,Apps,Week 1,4,A little too fast
117,San Francisco,Games,Week 1,4,Way too slow
253,,,Week 2,4,A little too fast
350,New York City,"Apps, Explorer",Week 1,4,Just right
23,Redwood City,Apps,Week 1,5,Just right
28,Los Angeles,Apps,Week 7,5,Just right
65,San Francisco,Apps,Week 1,5,A little too slow
101,Santa Clara,Apps,Week 1,5,A little too slow
124,Santa Clara,Apps,Week 1,5,Just right
157,Redwood City,Apps,Week 2,5,Just right
170,Oakland,Apps,Week 2,5,Just right
255,San Francisco,Apps,Week 2,5,Way too fast
289,Washington DC,Apps,Week 1,5,Just right
299,Washington DC,"Apps, Explorer",Week 1,5,A little too slow
307,,,Week 3,5,A little too slow
319,Redwood City,Apps,Week 3,5,Just right
336,New York City,Apps,Week 1,5,A little too slow
441,San Francisco,"Apps, Explorer",Week 3,5,Just right
482,Santa Clara,Apps,Week 3,5,Just right
37,Los Angeles,Games,Week 1,6,Just right
41,Chicago,"Apps, Explorer",Week 1,6,Just right
45,Chicago,Apps,Week 1,6,A little too slow
47,Chicago,Apps,Week 1,6,A little too slow
77,San Francisco,Apps,Week 1,6,A little too fast
78,San Francisco,Apps,Week 1,6,A little too fast
94,San Francisco,"Apps, Explorer",Week 1,6,Just right
193,Santa Clara,Apps,Week 2,6,Just right
251,San Francisco,"Apps, Explorer",Week 2,6,Just right
254,San Francisco,Apps,Week 2,6,Way too fast
276,Santa Clara,Apps,Week 2,6,Just right
294,Washington DC,Apps,Week 1,6,Way too fast
314,Redwood City,Apps,Week 3,6,A little too slow
340,,,Week 1,6,A little too slow
347,New York City,Games,Week 1,6,A little too fast
349,New York City,Apps,Week 1,6,Just right
397,Santa Clara,Games,Week 3,6,Way too slow
429,Santa Clara,Apps,Week 3,6,Just right
438,San Francisco,"Apps, Explorer",Week 3,6,Just right
452,San Francisco,Apps,Week 3,6,Way too fast
455,San Francisco,"Apps, Explorer",Week 3,6,Just right
472,San Francisco,Apps,Week 3,6,A little too fast
484,Oakland,Apps,Week 3,6,A little too slow
489,,,Week 1,6,A little too slow
20,Redwood City,Apps,Week 1,7,A little too slow
26,Los Angeles,Apps,Week 1,7,A little too fast
35,Los Angeles,Apps,Week 1,7,Just right
38,Chicago,Apps,Week 1,7,A little too fast
48,San Francisco,VR,Week 1,7,A little too slow
62,San Francisco,Apps,Week 1,7,A little too fast
67,San Francisco,Apps,Week 1,7,Just right
72,San Francisco,Apps,Week 1,7,A little too fast
75,San Francisco,Apps,Week 1,7,A little too fast
85,Santa Clara,Apps,Week 1,7,A little too fast
87,San Francisco,Apps,Week 1,7,A little too fast
104,San Francisco,"Apps, Explorer",Week 1,7,A little too fast
107,San Francisco,Games,Week 1,7,Just right
118,San Francisco,"Apps, Explorer",Week 1,7,Just right
122,Santa Clara,Apps,Week 1,7,Just right
136,San Francisco,"Apps, Explorer",Week 1,7,Just right
140,San Francisco,"Apps, Explorer",Week 1,7,A little too fast
155,San Francisco,Apps,Week 1,7,Just right
162,Redwood City,Apps,Week 2,7,Just right
175,Chicago,Apps,Week 2,7,A little too slow
192,Santa Clara,Apps,Week 2,7,Just right
199,Santa Clara,Apps,Week 2,7,A little too fast
222,Los Angeles,Apps,Week 2,7,A little too fast
223,San Francisco,"Apps, Explorer",Week 2,7,Just right
226,San Francisco,"Apps, Explorer",Week 2,7,Just right
247,San Francisco,"Apps, Explorer",Week 2,7,Just right
249,San Francisco,Apps,Week 2,7,A little too fast
257,San Francisco,Apps,Week 2,7,A little too fast
258,San Francisco,Apps,Week 2,7,A little too fast
266,San Francisco,Apps,Week 2,7,A little too fast
270,San Francisco,Games,Week 2,7,Just right
287,Atlanta,"Apps, Explorer",Week 2,7,A little too fast
295,Washington DC,Apps,Week 1,7,Just right
305,Oakland,Apps,Week 2,7,A little too slow
318,Redwood City,Apps,Week 3,7,Just right
327,Redwood City,Apps,Week 3,7,Just right
329,Washington DC,Apps,Week 2,7,Just right
339,New York City,Apps,Week 1,7,Just right
343,New York City,Apps,Week 1,7,A little too slow
344,New York City,Games,Week 1,7,Just right
346,New York City,Games,Week 1,7,Just right
353,New York City,Apps,Week 1,7,Just right
375,Chicago,Apps,Week 3,7,A little too fast
380,Chicago,Apps,Week 3,7,A little too fast
385,Chicago,"Apps, Explorer",Week 3,7,Just right
400,Santa Clara,Apps,Week 3,7,A little too fast
443,Santa Clara,Apps,Week 3,7,A little too slow
446,San Francisco,Apps,Week 3,7,Just right
459,Santa Clara,Apps,Week 3,7,A little too fast
465,,,Week 3,7,Just right
486,Washington DC,Apps,Week 2,7,Way too fast
497,New York City,"Apps, Explorer",Week 1,7,Just right
8,Atlanta,"Apps, Explorer",Week 1,8,Just right
9,Atlanta,Apps,Week 1,8,Just right
10,Atlanta,"Apps, Explorer",Week 1,8,Just right
14,Atlanta,Apps,Week 1,8,A little too slow
16,Redwood City,Apps,Week 1,8,A little too slow
18,San Francisco,"Apps, Explorer",Week 1,8,Way too fast
21,Redwood City,Apps,Week 1,8,A little too slow
25,Redwood City,Apps,Week 1,8,Just right
29,Los Angeles,Apps,Week 1,8,A little too fast
31,Los Angeles,Games,Week 1,8,A little too fast
39,Chicago,Apps,Week 1,8,A little too fast
40,Chicago,Apps,Week 1,8,Just right
46,Chicago,"Apps, Explorer",Week 1,8,Just right
53,San Francisco,VR,Week 1,8,Just right
55,San Francisco,VR,Week 1,8,Just right
58,San Francisco,Apps,Week 1,8,Just right
61,San Francisco,Apps,Week 1,8,A little too fast
63,San Francisco,Apps,Week 1,8,Just right
74,San Francisco,"Apps, Explorer",Week 1,8,A little too slow
80,Santa Clara,Apps,Week 1,8,Just right
81,San Francisco,"Apps, Explorer",Week 1,8,Just right
83,Oakland,Apps,Week 1,8,A little too fast
84,Santa Clara,Games,Week 1,8,Just right
86,Santa Clara,Apps,Week 1,8,Just right
88,Santa Clara,Games,Week 1,8,A little too slow
90,Santa Clara,Apps,Week 1,8,A little too slow
91,Santa Clara,Apps,Week 1,8,A little too slow
92,Santa Clara,Games,Week 1,8,Just right
95,Santa Clara,"Apps, Explorer",Week 1,8,Just right
96,Santa Clara,Apps,Week 1,8,Just right
99,Santa Clara,"Apps, Explorer",Week 1,8,Just right
100,Santa Clara,"Apps, Explorer",Week 1,8,Just right
105,Oakland,Apps,Week 1,8,A little too fast
109,San Francisco,Games,Week 1,8,Just right
114,Santa Clara,Games,Week 1,8,Just right
115,San Francisco,Games,Week 1,8,A little too slow
121,San Francisco,Games,Week 1,8,A little too slow
125,Santa Clara,Games,Week 1,8,Just right
126,Oakland,Apps,Week 1,8,A little too fast
130,San Francisco,Apps,Week 1,8,Just right
132,San Francisco,Games,Week 1,8,Just right
133,San Francisco,Apps,Week 1,8,A little too fast
135,San Francisco,"Apps, Explorer",Week 1,8,Just right
137,San Francisco,"Apps, Explorer",Week 1,8,A little too slow
147,Santa Clara,Apps,Week 1,8,A little too fast
153,Santa Clara,Games,Week 1,8,A little too slow
159,Redwood City,Apps,Week 2,8,A little too slow
161,Redwood City,Apps,Week 2,8,A little too fast
163,Redwood City,Apps,Week 2,8,A little too fast
173,Chicago,Apps,Week 2,8,Just right
176,Chicago,"Apps, Explorer",Week 2,8,A little too fast
180,Santa Clara,Apps,Week 2,8,A little too fast
181,Santa Clara,Apps,Week 2,8,A little too fast
185,Santa Clara,"Apps, Explorer",Week 2,8,Just right
186,Santa Clara,Apps,Week 2,8,A little too fast
189,Santa Clara,Games,Week 2,8,Just right
194,Santa Clara,Apps,Week 2,8,Just right
196,Santa Clara,Apps,Week 2,8,Just right
198,Santa Clara,Apps,Week 2,8,A little too fast
200,Santa Clara,Apps,Week 2,8,Just right
202,Santa Clara,Games,Week 2,8,Just right
209,San Francisco,VR,Week 2,8,A little too fast
210,San Francisco,VR,Week 2,8,Just right
212,Los Angeles,Apps,Week 2,8,A little too slow
219,Los Angeles,Apps,Week 2,8,Just right
220,Los Angeles,Apps,Week 2,8,A little too fast
224,San Francisco,"Apps, Explorer",Week 2,8,Just right
232,Los Angeles,Apps,Week 2,8,Just right
233,Los Angeles,Games,Week 2,8,Just right
234,San Francisco,Games,Week 2,8,Just right
236,Santa Clara,"Apps, Explorer",Week 2,8,Just right
239,San Francisco,"Apps, Explorer",Week 2,8,A little too slow
242,San Francisco,Apps,Week 2,8,A little too fast
244,,,Week 2,8,A little too fast
245,San Francisco,"Apps, Explorer",Week 2,8,Just right
246,San Francisco,Apps,Week 2,8,A little too fast
248,San Francisco,Apps,Week 2,8,Just right
259,San Francisco,"Apps, Explorer",Week 2,8,Just right
260,San Francisco,Apps,Week 2,8,Just right
261,San Francisco,Apps,Week 2,8,Just right
267,Los Angeles,Apps,Week 2,8,A little too fast
272,San Francisco,Apps,Week 2,8,Just right
273,San Francisco,Apps,Week 2,8,Just right
274,San Francisco,Apps,Week 2,8,Just right
279,San Francisco,Apps,Week 2,8,Just right
280,Santa Clara,Apps,Week 2,8,Just right
285,Atlanta,Apps,Week 2,8,Just right
290,Washington DC,Apps,Week 1,8,Just right
293,Washington DC,Apps,Week 1,8,Just right
297,Washington DC,"Apps, Explorer",Week 1,8,Just right
302,Washington DC,Apps,Week 1,8,A little too slow
306,New York City,Apps,Week 1,8,A little too slow
308,San Francisco,Apps,Week 3,8,Just right
311,San Francisco,Apps,Week 3,8,A little too fast
312,San Francisco,Apps,Week 3,8,A little too fast
320,San Francisco,Apps,Week 3,8,A little too fast
321,Redwood City,Apps,Week 3,8,Just right
325,Washington DC,Apps,Week 2,8,A little too fast
326,Washington DC,"Apps, Explorer",Week 2,8,A little too fast
330,New York City,Apps,Week 1,8,A little too slow
331,New York City,Apps,Week 1,8,Just right
332,New York City,Apps,Week 1,8,A little too slow
333,New York City,"Games, Explorer",Week 1,8,Just right
334,New York City,Games,Week 1,8,A little too slow
335,New York City,Apps,Week 1,8,Just right
341,New York City,Apps,Week 1,8,A little too fast
342,New York City,Games,Week 1,8,A little too fast
345,New York City,Games,Week 1,8,A little too fast
352,Atlanta,Apps,Week 3,8,Just right
354,,,Week 1,8,Just right
355,Atlanta,"Apps, Explorer",Week 3,8,Just right
359,New York City,Apps,Week 1,8,Just right
360,New York City,Apps,Week 1,8,Just right
362,Atlanta,"Apps, Explorer",Week 3,8,Just right
365,New York City,Apps,Week 1,8,Just right
366,New York City,"Games, Explorer",Week 1,8,Just right
368,New York City,Games,Week 1,8,Just right
370,New York City,Apps,Week 1,8,Just right
372,San Francisco,Apps,Week 3,8,A little too fast
378,Chicago,Apps,Week 3,8,A little too fast
381,Chicago,Apps,Week 3,8,Just right
382,Chicago,Apps,Week 3,8,Just right
384,Chicago,"Apps, Explorer",Week 3,8,Just right
387,San Francisco,VR,Week 3,8,A little too slow
391,Santa Clara,Apps,Week 3,8,A little too fast
392,Santa Clara,Apps,Week 3,8,Just right
393,Santa Clara,Games,Week 3,8,Just right
394,Santa Clara,Apps,Week 3,8,A little too fast
396,Santa Clara,Games,Week 3,8,A little too slow
399,Santa Clara,"Apps, Explorer",Week 3,8,Just right
401,Santa Clara,Games,Week 3,8,A little too slow
404,Los Angeles,Apps,Week 3,8,Just right
408,Los Angeles,Apps,Week 3,8,Just right
410,Los Angeles,Games,Week 3,8,A little too fast
413,Los Angeles,Apps,Week 3,8,A little too fast
418,Los Angeles,Apps,Week 3,8,A little too fast
423,,,Week 3,8,Just right
424,San Francisco,Apps,Week 3,8,Just right
425,Santa Clara,Apps,Week 3,8,A little too fast
426,San Francisco,"Apps, Explorer",Week 3,8,Just right
427,Santa Clara,Games,Week 3,8,Just right
430,San Francisco,"Apps, Explorer",Week 3,8,Just right
431,San Francisco,Games,Week 3,8,Just right
433,San Francisco,"Apps, Explorer",Week 3,8,Just right
449,San Francisco,"Apps, Explorer",Week 3,8,Just right
450,San Francisco,"Apps, Explorer",Week 3,8,Just right
458,Washington DC,Apps,Week 2,8,Just right
460,San Francisco,Apps,Week 3,8,A little too fast
463,San Francisco,"Apps, Explorer",Week 3,8,Just right
468,Washington DC,Apps,Week 2,8,A little too fast
469,Washington DC,Apps,Week 2,8,Just right
471,San Francisco,Games,Week 3,8,A little too slow
481,Oakland,Apps,Week 3,8,Just right
488,New York City,Apps,Week 1,8,Just right
494,New York City,Apps,Week 1,8,Just right
498,New York City,Apps,Week 1,8,A little too fast
499,New York City,Apps,Week 1,8,Just right
501,New York City,"Apps, Explorer",Week 1,8,A little too fast
502,New York City,Apps,Week 1,8,Just right
504,New York City,Apps,Week 1,8,Just right
11,Atlanta,"Apps, Explorer",Week 1,9,Just right
15,Redwood City,Apps,Week 1,9,Just right
27,Los Angeles,Games,Week 1,9,Just right
30,Los Angeles,Apps,Week 1,9,Just right
32,Los Angeles,Apps,Week 1,9,A little too fast
33,Los Angeles,Games,Week 1,9,Just right
56,San Francisco,VR,Week 1,9,Just right
59,San Francisco,Apps,Week 1,9,Just right
60,San Francisco,Apps,Week 1,9,Just right
68,San Francisco,Apps,Week 1,9,Just right
69,San Francisco,Apps,Week 1,9,Just right
73,San Francisco,Apps,Week 1,9,Just right
79,Santa Clara,"Games, Explorer",Week 1,9,Just right
82,Santa Clara,Apps,Week 1,9,A little too fast
89,Santa Clara,Apps,Week 1,9,A little too fast
93,Santa Clara,"Games, Explorer",Week 1,9,Just right
98,Santa Clara,Apps,Week 1,9,A little too fast
102,Santa Clara,Apps,Week 1,9,Just right
103,Santa Clara,Games,Week 1,9,Just right
110,San Francisco,Games,Week 1,9,A little too fast
111,Santa Clara,Games,Week 1,9,Just right
112,San Francisco,Apps,Week 1,9,A little too fast
113,San Francisco,Games,Week 1,9,A little too fast
128,San Francisco,"Apps, Explorer",Week 1,9,Just right
131,San Francisco,Apps,Week 1,9,Just right
138,San Francisco,"Apps, Explorer",Week 1,9,Just right
148,San Francisco,Apps,Week 1,9,Just right
156,Redwood City,Apps,Week 2,9,Just right
167,Redwood City,Apps,Week 2,9,Just right
168,Redwood City,Apps,Week 2,9,Just right
169,Redwood City,Apps,Week 2,9,A little too fast
171,Chicago,Apps,Week 2,9,A little too fast
172,Chicago,Apps,Week 2,9,Just right
178,Chicago,"Apps, Explorer",Week 2,9,A little too fast
179,Santa Clara,Games,Week 2,9,Way too slow
182,Santa Clara,Games,Week 2,9,A little too slow
183,Santa Clara,"Apps, Explorer",Week 2,9,Just right
184,Santa Clara,Games,Week 2,9,Just right
188,Santa Clara,Games,Week 2,9,Just right
190,Santa Clara,Games,Week 2,9,A little too slow
191,Santa Clara,"Games, Explorer",Week 2,9,Just right
195,Santa Clara,"Games, Explorer",Week 2,9,A little too fast
197,Santa Clara,Apps,Week 2,9,A little too fast
201,San Francisco,VR,Week 2,9,A little too slow
204,San Francisco,VR,Week 2,9,Just right
211,San Francisco,VR,Week 2,9,Just right
215,Los Angeles,Apps,Week 2,9,A little too fast
218,Los Angeles,Games,Week 2,9,Just right
221,Los Angeles,Apps,Week 2,9,Just right
225,Los Angeles,Games,Week 2,9,A little too slow
228,Los Angeles,Apps,Week 2,9,A little too fast
229,Santa Clara,Apps,Week 2,9,Just right
230,Los Angeles,Games,Week 2,9,Just right
231,Oakland,Apps,Week 2,9,Just right
235,San Francisco,"Apps, Explorer",Week 2,9,A little too slow
240,San Francisco,Apps,Week 2,9,Just right
241,,,Week 2,9,A little too fast
243,San Francisco,Apps,Week 2,9,Just right
250,San Francisco,Games,Week 2,9,Just right
252,San Francisco,Apps,Week 2,9,Just right
262,San Francisco,"Apps, Explorer",Week 2,9,A little too slow
264,San Francisco,Apps,Week 2,9,Just right
265,San Francisco,Apps,Week 2,9,A little too fast
269,San Francisco,Games,Week 2,9,Just right
271,Atlanta,"Apps, Explorer",Week 2,9,Just right
277,Santa Clara,Apps,Week 2,9,Just right
278,San Francisco,Games,Week 2,9,A little too slow
286,Atlanta,"Apps, Explorer",Week 2,9,A little too fast
288,Washington DC,Apps,Week 1,9,Just right
298,Washington DC,"Apps, Explorer",Week 1,9,Just right
300,San Francisco,Games,Week 2,9,Just right
301,San Francisco,"Apps, Explorer",Week 2,9,Just right
304,San Francisco,Games,Week 2,9,A little too slow
309,San Francisco,Apps,Week 3,9,Just right
310,San Francisco,Apps,Week 3,9,Just right
313,Redwood City,Apps,Week 3,9,Just right
315,Redwood City,Apps,Week 3,9,A little too fast
316,Redwood City,Apps,Week 3,9,Just right
323,Washington DC,"Apps, Explorer",Week 2,9,Just right
324,Washington DC,Apps,Week 2,9,A little too slow
328,Redwood City,Apps,Week 3,9,Just right
337,New York City,Games,Week 1,9,Just right
361,Atlanta,"Apps, Explorer",Week 3,9,Just right
367,San Francisco,VR,Week 3,9,Just right
373,Chicago,Apps,Week 3,9,Just right
379,Chicago,"Apps, Explorer",Week 3,9,Just right
388,Santa Clara,Apps,Week 3,9,Just right
389,Santa Clara,Apps,Week 3,9,Just right
390,Santa Clara,Games,Week 3,9,Just right
395,Santa Clara,"Apps, Explorer",Week 3,9,A little too fast
398,Santa Clara,"Apps, Explorer",Week 3,9,Just right
403,Santa Clara,Apps,Week 3,9,Just right
405,Los Angeles,Apps,Week 3,9,A little too slow
415,Los Angeles,Apps,Week 3,9,Just right
419,Santa Clara,"Games, Explorer",Week 3,9,Just right
420,Los Angeles,Games,Week 3,9,Just right
421,Santa Clara,"Games, Explorer",Week 3,9,A little too fast
432,Santa Clara,Apps,Week 3,9,Just right
434,Santa Clara,Apps,Week 3,9,Just right
435,San Francisco,Games,Week 3,9,Just right
439,San Francisco,"Apps, Explorer",Week 3,9,Just right
442,San Francisco,"Apps, Explorer",Week 3,9,A little too fast
445,San Francisco,Games,Week 3,9,Just right
454,San Francisco,VR,Week 3,9,Just right
456,San Francisco,VR,Week 3,9,A little too fast
457,San Francisco,Apps,Week 3,9,Just right
461,San Francisco,Apps,Week 3,9,Just right
464,San Francisco,Apps,Week 3,9,Just right
466,San Francisco,Games,Week 3,9,Just right
470,San Francisco,Apps,Week 3,9,A little too fast
473,Oakland,Apps,Week 3,9,Just right
477,Oakland,Apps,Week 3,9,Just right
479,San Francisco,"Apps, Explorer",Week 3,9,A little too fast
480,Santa Clara,"Games, Explorer",Week 3,9,Just right
485,San Francisco,Games,Week 3,9,Just right
487,New York City,Apps,Week 1,9,Just right
490,New York City,Apps,Week 1,9,Just right
492,New York City,Apps,Week 1,9,A little too slow
495,New York City,Apps,Week 1,9,Just right
500,New York City,"Games, Explorer",Week 1,9,Just right
12,Atlanta,Apps,Week 1,10,Just right
13,Atlanta,"Apps, Explorer",Week 1,10,Just right
17,Redwood City,Apps,Week 1,10,Just right
19,Redwood City,Apps,Week 1,10,Just right
22,Redwood City,Apps,Week 1,10,Just right
24,Redwood City,Apps,Week 1,10,A little too fast
34,Los Angeles,Apps,Week 1,10,Just right
42,Chicago,Apps,Week 1,10,Just right
43,Chicago,"Apps, Explorer",Week 1,10,Just right
44,Chicago,Apps,Week 1,10,A little too fast
49,San Francisco,VR,Week 1,10,Just right
50,San Francisco,VR,Week 1,10,A little too slow
51,San Francisco,VR,Week 1,10,A little too fast
52,San Francisco,VR,Week 1,10,Just right
54,San Francisco,VR,Week 1,10,Just right
57,San Francisco,VR,Week 1,10,Just right
64,San Francisco,Apps,Week 1,10,Just right
66,San Francisco,Apps,Week 1,10,Just right
70,San Francisco,Apps,Week 1,10,Just right
71,San Francisco,Apps,Week 1,10,Just right
76,Oakland,"Apps, Explorer",Week 1,10,Just right
97,Santa Clara,"Apps, Explorer",Week 1,10,A little too fast
106,San Francisco,Games,Week 1,10,Just right
108,Santa Clara,Apps,Week 1,10,A little too fast
116,San Francisco,Games,Week 1,10,Just right
119,San Francisco,Games,Week 1,10,Just right
120,San Francisco,Games,Week 1,10,A little too fast
123,San Francisco,Games,Week 1,10,A little too slow
127,San Francisco,Games,Week 1,10,Just right
129,Oakland,Apps,Week 1,10,Just right
139,Oakland,Apps,Week 1,10,A little too slow
149,Los Angeles,Apps,Week 1,10,Just right
151,Los Angeles,Apps,Week 1,10,Just right
152,Los Angeles,Apps,Week 1,10,Just right
160,Redwood City,Apps,Week 2,10,Just right
174,Chicago,Apps,Week 2,10,A little too fast
187,Santa Clara,Apps,Week 2,10,A little too fast
203,San Francisco,VR,Week 2,10,A little too slow
205,San Francisco,VR,Week 2,10,A little too fast
206,San Francisco,VR,Week 2,10,Just right
207,San Francisco,VR,Week 2,10,Just right
208,San Francisco,VR,Week 2,10,Just right
213,Los Angeles,Apps,Week 2,10,A little too slow
214,Los Angeles,Apps,Week 2,10,Just right
216,Los Angeles,Apps,Week 2,10,Just right
227,Santa Clara,"Apps, Explorer",Week 2,10,A little too fast
237,Atlanta,Apps,Week 2,10,Just right
238,San Francisco,Apps,Week 2,10,Just right
256,San Francisco,"Apps, Explorer",Week 2,10,A little too fast
263,San Francisco,Apps,Week 2,10,A little too fast
281,Chicago,Apps,Week 2,10,Just right
282,San Francisco,Games,Week 2,10,Just right
283,Atlanta,Apps,Week 2,10,Just right
284,Atlanta,"Apps, Explorer",Week 2,10,A little too fast
291,Washington DC,Apps,Week 1,10,Just right
292,Washington DC,"Apps, Explorer",Week 1,10,Just right
296,Washington DC,Apps,Week 1,10,Just right
303,Oakland,Apps,Week 2,10,A little too fast
317,Redwood City,Apps,Week 3,10,Just right
322,Washington DC,"Apps, Explorer",Week 2,10,Just right
338,New York City,Apps,Week 1,10,A little too fast
348,San Francisco,VR,Week 3,10,Just right
351,Atlanta,Apps,Week 3,10,Just right
356,,,Week 1,10,Just right
357,New York City,Apps,Week 1,10,Just right
358,New York City,Apps,Week 1,10,Just right
363,Atlanta,Apps,Week 3,10,Just right
364,Atlanta,"Apps, Explorer",Week 3,10,Just right
369,San Francisco,VR,Week 3,10,A little too fast
371,Atlanta,Apps,Week 3,10,Just right
374,Chicago,Apps,Week 3,10,A little too fast
376,Chicago,Apps,Week 3,10,Just right
377,Chicago,Apps,Week 3,10,Just right
383,San Francisco,VR,Week 3,10,Just right
386,San Francisco,VR,Week 3,10,Just right
402,Santa Clara,Apps,Week 3,10,Just right
406,Los Angeles,Games,Week 3,10,Just right
407,Los Angeles,Apps,Week 3,10,Just right
409,Los Angeles,Apps,Week 3,10,Just right
411,Los Angeles,Apps,Week 3,10,Just right
412,Los Angeles,Games,Week 3,10,Just right
414,Los Angeles,Apps,Week 3,10,Just right
417,Los Angeles,Apps,Week 3,10,Just right
422,San Francisco,"Apps, Explorer",Week 3,10,A little too fast
428,Los Angeles,Apps,Week 3,10,Just right
436,San Francisco,Games,Week 3,10,Just right
437,San Francisco,Apps,Week 3,10,Just right
440,San Francisco,Games,Week 3,10,Just right
444,San Francisco,Apps,Week 3,10,Just right
447,San Francisco,Apps,Week 3,10,Just right
448,San Francisco,Games,Week 3,10,A little too fast
451,San Francisco,"Apps, Explorer",Week 3,10,Just right
453,San Francisco,Apps,Week 3,10,Just right
462,San Francisco,Apps,Week 3,10,Just right
474,Washington DC,Apps,Week 2,10,Just right
475,Oakland,Apps,Week 3,10,Just right
478,Santa Clara,Apps,Week 3,10,Just right
483,Santa Clara,Apps,Week 3,10,A little too fast
491,New York City,Apps,Week 1,10,Just right
493,New York City,"Apps, Explorer",Week 1,10,Just right
